Individual ID,Age,Gender,Party Registration,Q1,Q2,Q3,Q4,Q5,Q6,Q7
1,86,F,D,1,4,3,1,2,2,2
2,68,F,D,2,1,1,1,1,3,3
3,58,F,D,1,1,1,1,1,2,1
4,73,M,D,1,2,3,4,2,2,1
5,50,F,D,1,1,2,2,1,2,1
6,68,F,D,1,1,1,1,1,1,1
7,83,F,R,3,2,2,2,2,3,2
8,72,F,R,1,2,5,2,1,2,2
9,95,F,R,6,4,5,4,2,3,2
10,72,F,I,3,1,1,1,1,1,3
11,57,F,D,1,1,3,1,2,2,3
12,49,F,R,1,2,2,2,2,2,2
13,39,F,D,1,1,1,1,1,2,3
14,73,M,R,1,2,2,2,2,2,2
15,66,M,R,1,2,2,2,2,2,2
16,63,F,R,1,2,2,2,2,2,2
17,76,F,R,4,1,1,1,1,1,3
18,72,F,R,1,2,1,1,2,2,4
19,61,F,D,1,1,1,1,1,1,3
20,72,F,D,1,1,2,2,1,2,1
21,76,M,R,1,2,3,2,2,2,2
22,78,F,R,1,2,2,2,2,2,3
23,29,F,I,3,1,1,1,2,3,2
24,78,F,R,1,4,2,2,2,2,3
25,79,M,D,1,1,1,1,1,1,1
26,79,F,R,1,2,2,2,2,2,2
27,49,M,R,1,2,2,2,2,2,2
28,69,M,D,1,1,3,1,1,2,1
29,69,F,I,1,4,2,2,2,2,3
30,79,M,R,1,2,2,2,2,2,2
31,86,F,D,4,2,3,1,2,2,3
32,80,M,R,1,2,2,2,2,2,2
33,57,M,I,1,1,3,1,1,1,1
34,69,F,R,1,4,2,2,2,2,2
35,58,M,R,1,1,2,2,1,2,2
36,69,F,R,1,4,5,2,2,2,2
37,67,F,D,1,1,1,1,2,3,1
38,46,F,R,5,4,5,2,1,3,2
39,68,F,D,1,1,1,1,1,3,1
40,77,M,R,1,1,1,1,1,5,3
41,83,F,R,2,2,5,3,2,3,2
42,48,M,R,2,2,3,1,2,2,3
43,69,F,R,1,2,2,2,2,2,2
44,66,F,D,1,2,3,1,2,2,1
45,76,F,R,1,2,2,2,2,2,2
46,57,F,R,1,4,2,2,2,2,2
47,86,F,I,1,2,1,1,1,2,3
48,62,F,R,1,2,1,1,2,2,2
49,74,F,R,1,4,2,2,2,2,2
50,38,F,D,1,1,1,1,1,1,1
51,57,F,R,1,4,2,2,2,2,3
52,70,F,R,1,2,2,2,2,2,3
53,43,M,R,2,2,3,2,1,2,2
54,79,F,R,1,1,1,1,1,1,2
55,70,F,R,1,2,2,2,2,2,3
56,58,F,R,1,2,2,2,2,2,2
57,75,F,D,1,1,1,1,1,2,1
58,62,F,D,1,2,1,1,2,2,3
59,57,M,D,1,1,5,1,1,1,1
60,68,F,R,1,2,2,2,2,2,2
61,84,M,I,3,4,3,4,1,3,4
62,86,M,R,1,1,1,1,1,1,2
63,84,F,D,1,1,3,1,1,2,1
64,61,F,R,1,2,2,2,2,2,2
65,89,F,D,1,1,1,1,1,1,1
66,65,F,D,1,1,1,1,1,3,1
67,63,F,D,1,2,3,1,2,2,2
68,59,F,R,1,1,5,3,1,2,2
69,42,F,R,3,2,2,2,2,2,2
70,49,F,D,1,1,1,1,1,1,1
71,54,M,R,1,2,2,2,2,2,2
72,70,F,R,2,2,2,2,2,2,2
73,87,F,I,1,1,1,1,1,1,3
74,68,F,D,1,1,1,1,1,1,1
75,55,F,R,1,2,2,2,2,2,2
76,68,F,R,1,2,2,2,2,2,2
77,62,F,D,1,1,1,1,1,1,1
78,76,F,D,3,1,1,1,1,2,1
79,71,F,R,1,1,2,2,2,2,3
80,83,M,R,1,4,2,2,2,2,2
81,74,M,R,1,2,2,2,2,1,2
82,76,F,I,1,1,3,4,1,2,3
83,77,F,R,1,2,2,2,2,2,2
84,67,F,D,1,1,1,1,1,2,1
85,51,F,D,1,4,2,2,2,2,3
86,62,F,I,2,2,2,2,2,2,3
87,63,F,D,1,1,1,1,1,2,1
88,67,F,R,1,2,2,2,2,2,2
89,80,F,R,1,4,2,2,2,2,2
90,67,F,R,1,2,2,2,2,2,2
91,71,M,D,6,4,5,4,3,3,3
92,97,M,R,1,2,3,2,2,2,2
93,85,F,R,6,2,1,2,3,1,2
94,43,F,D,1,1,1,1,1,2,1
95,39,F,D,1,1,1,1,1,2,1
96,60,F,R,2,2,2,2,2,2,2
97,61,M,I,1,2,2,2,2,2,2
98,55,F,I,1,4,2,2,1,2,3
99,77,F,R,1,2,3,2,1,2,2
100,55,F,R,3,2,2,2,2,2,2
101,61,M,D,3,1,1,1,1,3,1
102,55,F,I,1,1,3,1,1,3,4
103,78,M,D,1,1,1,1,1,1,1
104,69,F,D,1,1,3,1,1,1,1
105,51,F,R,1,2,2,2,2,2,2
106,74,M,I,2,1,1,1,1,2,3
